n,100,200,500,750,1000,1250,1500,1750,2000,2500,3000,3500,4000,4500,5000,
dijkstra_priority_queue.cpp,0,.01,.07,.16,.36,.74,1.21,1.81,2.63,5.23,8.90,14.13,21.69,28.80,39.77,
dijkstra_linear_search.cpp,0,.01,.08,.23,.52,1.06,1.69,2.52,3.67,7.22,12.67,20.55,30.92,44.90,60.72,
